Date,pct_st_vol_expansion_20gt60
2025-08-22,60.85192697768763
2025-08-25,56.3894523326572
2025-08-26,55.757575757575765
2025-08-28,55.55555555555556
2025-08-29,53.535353535353536
2025-09-01,55.959595959595966
2025-09-02,52.72727272727272
2025-09-03,48.68686868686869
2025-09-04,50.505050505050505
2025-09-05,48.68686868686869
2025-09-08,48.888888888888886
2025-09-09,45.25252525252525
2025-09-10,45.656565656565654
2025-09-11,46.06060606060606
2025-09-12,42.02020202020202
2025-09-15,43.54838709677419
2025-09-16,38.306451612903224
2025-09-17,35.88709677419355
2025-09-18,36.016096579476866
2025-09-19,36.61971830985916
2025-09-22,38.6317907444668
2025-09-23,39.2354124748491
2025-09-24,33.80281690140845
2025-09-25,30.181086519114686
2025-09-26,36.41851106639839
2025-09-29,34.205231388329985
2025-09-30,30.38229376257545
2025-10-01,30.58350100603622
2025-10-03,30.38229376257545
2025-10-06,32.3943661971831
2025-10-07,32.99798792756539
2025-10-08,32.99798792756539
2025-10-09,31.388329979879277
2025-10-10,31.388329979879277
2025-10-13,35.01006036217304
2025-10-14,36.41851106639839
2025-10-15,36.41851106639839
2025-10-16,37.223340040241446
2025-10-17,39.839034205231385
2025-10-20,41.04627766599598
2025-10-21,37.42454728370221
2025-10-23,40.24144869215292
2025-10-24,39.436619718309856
2025-10-27,40.44265593561368
2025-10-28,32.796780684104625
2025-10-29,34.00402414486921
2025-10-30,36.61971830985916
2025-10-31,38.028169014084504
2025-11-03,37.223340040241446
2025-11-04,39.839034205231385
2025-11-06,41.85110663983904
2025-11-07,42.45472837022133
2025-11-10,45.271629778672036
2025-11-11,45.271629778672036
2025-11-12,47.48490945674044
2025-11-13,45.98393574297189
2025-11-14,45.38152610441767
2025-11-17,46.1847389558233
2025-11-18,45.58232931726908
2025-11-19,46.787148594377506
2025-11-20,48.393574297188756
2025-11-21,46.3855421686747
2025-11-24,51.606425702811244
2025-11-25,51.606425702811244
2025-11-26,54.01606425702812
2025-11-27,50.20080321285141
2025-11-28,49.19678714859438
2025-12-01,48.795180722891565
2025-12-02,46.3855421686747
2025-12-03,43.77510040160642
2025-12-04,38.152610441767074
2025-12-05,36.94779116465863
2025-12-08,39.1566265060241
2025-12-09,39.3574297188755
2025-12-10,35.7429718875502
2025-12-11,36.74698795180723
2025-12-12,36.34538152610442
2025-12-15,37.75100401606426
2025-12-16,37.95180722891566
2025-12-17,35.9437751004016
2025-12-18,38.75502008032129
2025-12-19,41.76706827309237
2025-12-22,40.562248995983936
2025-12-23,41.76706827309237
2025-12-24,38.55421686746988
2025-12-26,39.75903614457831
2025-12-29,39.558232931726906
2025-12-30,41.967871485943775
2025-12-31,43.97590361445783
2026-01-01,43.17269076305221
2026-01-02,46.3855421686747
2026-01-05,47.389558232931726
2026-01-06,41.365461847389554
2026-01-07,42.168674698795186
2026-01-08,44.17670682730924
2026-01-09,46.787148594377506
2026-01-12,46.58634538152611
2026-01-13,47.59036144578313
2026-01-14,47.791164658634536
2026-01-15,47.87472035794183
2026-01-16,50.33557046979866
2026-01-19,48.09843400447427
2026-01-20,51.45413870246085
2026-01-21,53.691275167785236
2026-01-22,57.27069351230425
2026-01-23,62.19239373601789
2026-01-27,65.32438478747203
2026-01-28,71.58836689038031
2026-01-29,72.03579418344519
2026-01-30,75.6152125279642
2026-02-02,78.29977628635348
2026-02-03,84.3400447427293
2026-02-04,86.57718120805369
2026-02-05,86.57718120805369
2026-02-06,85.23489932885906
2026-02-09,87.47203579418344
2026-02-10,86.12975391498881
2026-02-11,86.57718120805369
2026-02-12,87.02460850111858
2026-02-13,89.26174496644296
2026-02-16,87.24832214765101
2026-02-17,86.35346756152126
2026-02-18,82.77404921700223
2026-02-19,83.22147651006712
2026-02-20,80.98434004474274
2026-02-23,76.0626398210291
2026-02-24,74.72035794183445
2026-02-25,67.78523489932886
2026-02-26,64.65324384787472
2026-02-27,61.297539149888145
2026-03-02,57.04697986577181
2026-03-04,48.769574944071586
2026-03-05,49.44071588366891
2026-03-06,49.21700223713646
2026-03-09,52.57270693512305
2026-03-10,50.11185682326622
2026-03-11,48.769574944071586
2026-03-12,48.322147651006716
2026-03-13,51.23042505592841
2026-03-16,50.55928411633109
2026-03-17,51.67785234899329
2026-03-18,56.59955257270693
2026-03-19,60.85011185682326
2026-03-20,60.85011185682326
2026-03-23,66.8903803131991
2026-03-24,70.46979865771812
2026-03-25,73.60178970917227
2026-03-27,75.16778523489933
2026-03-30,76.28635346756153
2026-04-01,81.4317673378076
2026-04-02,81.65548098434004
2026-04-06,79.64205816554811
2026-04-07,78.29977628635348
2026-04-08,83.66890380313198
2026-04-09,82.10290827740492
2026-04-10,82.32662192393735
2026-04-13,81.65548098434004
2026-04-15,82.5503355704698
2026-04-16,77.85234899328859
2026-04-17,74.9440715883669
2026-04-20,75.50200803212851
2026-04-21,75.30120481927712
2026-04-22,67.8714859437751
2026-04-23,66.46586345381526
2026-04-24,54.61847389558233
2026-04-27,53.41365461847389
2026-04-28,51.00401606425703
2026-04-29,44.57831325301205
2026-04-30,33.734939759036145
2026-05-01,26.143790849673206
2026-05-04,28.322440087145967
2026-05-05,29.629629629629626
2026-05-06,32.02614379084967
2026-05-07,19.825708061002178
2026-05-08,21.350762527233115
2026-05-11,25.925925925925924
2026-05-12,29.629629629629626
2026-05-13,26.361655773420477
2026-05-14,25.925925925925924
2026-05-15,25.49019607843137
2026-05-18,26.143790849673206
2026-05-19,25.925925925925924
2026-05-20,24.836601307189543
2026-05-21,23.965141612200437
2026-05-22,23.311546840958606
